stage,group,bucket,n,minADE,minFDE,MR,brier_minFDE
s0,maneuver,straight,4196,3.83,10.072,0.829,10.072
s0,maneuver,turning,804,7.41,20.145,0.985,20.145
s0,speed,0-2 m/s,1238,2.99,8.578,0.712,8.578
s0,speed,2-8 m/s,2007,5.76,14.734,0.937,14.734
s0,speed,8+ m/s,1755,3.855,10.411,0.86,10.411
s0,agents,1-10,412,4.789,12.682,0.896,12.682
s0,agents,11-30,2864,4.448,11.84,0.858,11.84
s0,agents,31+,1724,4.242,11.209,0.839,11.209
s1,maneuver,straight,4196,2.811,7.212,0.799,7.212
s1,maneuver,turning,804,5.375,15.238,0.981,15.238
s1,speed,0-2 m/s,1238,2.494,6.495,0.704,6.495
s1,speed,2-8 m/s,2007,3.813,10.026,0.893,10.026
s1,speed,8+ m/s,1755,3.063,8.175,0.843,8.175
s1,agents,1-10,412,3.331,8.857,0.857,8.857
s1,agents,11-30,2864,3.197,8.459,0.834,8.459
s1,agents,31+,1724,3.241,8.489,0.813,8.489
s2,maneuver,straight,4196,1.263,2.753,0.535,3.324
s2,maneuver,turning,804,2.894,7.703,0.943,8.387
s2,speed,0-2 m/s,1238,1.068,2.527,0.438,3.008
s2,speed,2-8 m/s,2007,1.921,4.461,0.719,5.081
s2,speed,8+ m/s,1755,1.396,3.225,0.581,3.856
s2,agents,1-10,412,1.635,3.683,0.636,4.289
s2,agents,11-30,2864,1.495,3.5,0.597,4.09
s2,agents,31+,1724,1.55,3.597,0.598,4.181
s3,maneuver,straight,4196,1.007,1.933,0.341,2.564
s3,maneuver,turning,804,2.095,5.131,0.78,5.818
s3,speed,0-2 m/s,1238,0.858,1.744,0.303,2.336
s3,speed,2-8 m/s,2007,1.397,2.91,0.48,3.57
s3,speed,8+ m/s,1755,1.164,2.413,0.41,3.065
s3,agents,1-10,412,1.21,2.488,0.425,3.135
s3,agents,11-30,2864,1.167,2.432,0.404,3.067
s3,agents,31+,1724,1.199,2.463,0.421,3.109
s3_no_map,maneuver,straight,4196,1.175,2.422,0.479,3.028
s3_no_map,maneuver,turning,804,2.81,7.507,0.914,8.18
s3_no_map,speed,0-2 m/s,1238,1.0,2.305,0.388,2.824
s3_no_map,speed,2-8 m/s,2007,1.754,3.932,0.635,4.589
s3_no_map,speed,8+ m/s,1755,1.385,3.106,0.565,3.747
s3_no_map,agents,1-10,412,1.565,3.513,0.592,4.137
s3_no_map,agents,11-30,2864,1.411,3.188,0.548,3.806
s3_no_map,agents,31+,1724,1.453,3.259,0.541,3.874
s3_no_social,maneuver,straight,4196,1.027,2.001,0.363,2.63
s3_no_social,maneuver,turning,804,2.048,5.051,0.792,5.729
s3_no_social,speed,0-2 m/s,1238,0.876,1.843,0.317,2.431
s3_no_social,speed,2-8 m/s,2007,1.408,2.911,0.502,3.569
s3_no_social,speed,8+ m/s,1755,1.167,2.468,0.434,3.117
s3_no_social,agents,1-10,412,1.189,2.526,0.451,3.17
s3_no_social,agents,11-30,2864,1.171,2.443,0.418,3.077
s3_no_social,agents,31+,1724,1.227,2.562,0.452,3.205
