stage,kind,level,minADE,minFDE,MR,brier_minFDE
s3_full,shift,0.0,0.952,1.875,0.3052,2.5071
s3_full,shift,0.25,0.9513,1.8772,0.3022,2.5092
s3_full,shift,0.5,0.9538,1.8879,0.3084,2.5193
s3_full,shift,1.0,0.9657,1.9233,0.3144,2.5553
s3_full,shift,2.0,1.011,2.05,0.333,2.6819
s3_full,dropout,0.0,0.952,1.875,0.3052,2.5071
s3_full,dropout,0.25,1.0306,2.122,0.3244,2.7599
s3_full,dropout,0.5,1.2063,2.6319,0.39,3.2808
s3_full,dropout,0.75,1.597,3.7477,0.4854,4.4126
s3_full,dropout,1.0,3.0984,7.6257,0.7458,8.2909
s3,shift,0.0,1.1817,2.447,0.4114,3.0873
s3,shift,0.25,1.181,2.4404,0.4106,3.0811
s3,shift,0.5,1.1837,2.4449,0.411,3.0853
s3,shift,1.0,1.1982,2.4891,0.4208,3.1296
s3,shift,2.0,1.2277,2.5813,0.4354,3.2229
s3,dropout,0.0,1.1817,2.447,0.4114,3.0873
s3,dropout,0.25,1.2406,2.6146,0.441,3.2599
s3,dropout,0.5,1.358,2.9484,0.4606,3.6042
s3,dropout,0.75,1.6692,3.7827,0.5176,4.4566
s3,dropout,1.0,3.3413,7.9746,0.6856,8.6764
